State,City,Lat,Lon,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20
CA,Maywood,33.987143,-118.185634,0,0,0,0,0,0,0,0,0,1,1,2,4,5,6,8,10,10
CA,Little Bangladesh,34.069054,-118.295452,0,0,0,0,0,0,0,0,0,1,2,2,4,5,5,8,9,11
CA,Harbor City,33.790942,-118.297527,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,7,8,15
CA,North Hills,34.23565,-118.485061,0,0,0,0,0,0,0,0,0,1,1,2,6,7,9,11,13,16
CA,Beverly Crest,34.101357,-118.41628,0,0,0,0,0,0,0,0,0,0,14,17,18,19,20,22,23,23
CA,Valley Village,34.163267,-118.384267,0,0,0,0,0,0,0,0,0,0,13,14,18,19,21,23,23,27
CA,Palos Verdes Estates,33.800671,-118.390089,0,0,0,0,0,0,0,0,0,0,12,14,14,14,14,15,18,19
CA,Mid-city,34.041731,-118.328626,0,0,0,0,0,0,0,0,0,0,8,8,9,10,11,13,14,16
CA,Carthay,34.055953,-118.368061,0,0,0,0,0,0,0,0,0,0,7,9,13,15,16,17,17,24
CA,Bel-Air,34.100344,-118.459103,0,0,0,0,0,0,0,0,0,0,6,#N/A,9,9,11,12,12,13
CA,South Carthay,34.056164,-118.373422,0,0,0,0,0,0,0,0,0,0,5,5,6,8,8,9,14,17
CA,Athens-Westmont,33.923974,-118.300783,0,0,0,0,0,0,0,0,0,0,5,7,7,7,11,13,15,17
CA,West Carson,33.821774,-118.292792,0,0,0,0,0,0,0,0,0,0,5,6,7,8,9,11,11,15
CA,Temple-Beaudry,34.064398,-118.257002,0,0,0,0,0,0,0,0,0,0,5,5,5,8,10,11,12,15
CA,Pico-Union,34.044434,-118.28978,0,0,0,0,0,0,0,0,0,0,5,4,4,5,7,9,9,13
CA,Florence-Firestone,33.967096,-118.243123,0,0,0,0,0,0,0,0,0,0,3,6,6,7,12,19,23,26
CA,Central,34.068637,-118.322807,0,0,0,0,0,0,0,0,0,0,2,3,4,6,11,13,16,18
CA,Harvard Park,33.983705,-118.30433,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,5,8
CA,Rowland Heights,33.97623,-117.905228,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,6,7
CA,San Marino,34.121609,-118.106368,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Hermosa Beach,33.862341,-118.39959,0,0,0,0,0,0,0,0,0,0,1,1,6,7,9,12,15,17
CA,Marina Peninsula,33.979767,-118.465679,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6
CA,Shadow Hills,34.257538,-118.354926,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5
CA,Marina del Rey,33.980518,-118.451989,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5
CA,Signal Hill,33.804516,-118.167693,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Elysian Park,34.084241,-118.236818,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5
CA,Elysian Valley,34.090619,-118.249761,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Cudahy,33.960835,-118.185787,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8,9,10
CA,Mission Hills,34.272225,-118.468854,0,0,0,0,0,0,0,0,0,0,1,5,5,6,6,6,6,8
CA,Cheviot Hills,34.040341,-118.404236,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,8,9,10
CA,Alsace,33.978779,-118.415636,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Mount Washington,34.099251,-118.220424,0,0,0,0,0,0,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,La Habra Heights,33.960792,-117.950388,0,0,0,0,0,0,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Thai Town,34.101847,-118.303536,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Toluca Lake,34.150272,-118.355231,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5
CA,Adams-Normandie,34.034554,-118.2994,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,8,8,12
CA,Country Club Park,34.050499,-118.321101,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,8,9,9
CA,La Rambla,33.732776,-118.295677,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
